points_5,points_4,points_3,points_2,points_1
Stitchbird,Bar-tailed Godwit,Banded Dotterel,Kererū,Tūī
Kākāpō,Kākā,Kea,Antipodean Albatross,Southern Brown Kiwi
New Zealand Dotterel,Bittern,Hutton's Shearwater,Fairy Tern,Chatham Island Mollymawk
Yellow-eyed penguin,NA,NA,NA,NA
Banded Dotterel,Antipodean Albatross,Kākā,Morepork,Kingfisher
Blue Duck,Morepork,Kākāpō,Kererū,New Zealand Dotterel
Black Robin,Banded Dotterel,Yellow-eyed penguin,Stitchbird,South Island Kōkako
Yellow-eyed penguin,New Zealand Dotterel,Black-billed Gull,Black Stilt,Black Robin
Kākāpō,Kererū,Orange-fronted Parakeet,Tūī,Kingfisher
South Island Kōkako,Kākāpō,Kōkako,Takahē,Blue Duck
Bar-tailed Godwit,Bittern,Hutton's Shearwater,Black Petrel,Black Stilt
Yellow-eyed penguin,Banded Dotterel,Black Robin,Southern Brown Kiwi,Kākāpō
Fairy Tern,Shore Plover,Takahē,Bittern,Kōkako
Yellow-eyed penguin,Rockhopper Penguin,Black Robin,Orange-fronted Parakeet,New Zealand Falcon
Antipodean Albatross,Southern Brown Kiwi,New Zealand Falcon,Tūī,Black Robin
Royal Spoonbill,Yellow-eyed penguin,Hutton's Shearwater,New Zealand Falcon,Grey Warbler
Yellow-eyed penguin,Chatham Island Mollymawk,Bittern,Black Robin,Fairy Tern
Southern Brown Kiwi,South Island Kōkako,Shore Plover,Mōhua,Little Spotted Kiwi
Kea,Kererū,Blue Duck,Rock Wren,Fantail
Black-billed Gull,Kea,Tūī,Mōhua,Bittern
Australasian Gannet,Fantail,Rockhopper Penguin,Tūī,Morepork
White-faced Heron,Harrier,Antipodean Albatross,Northern Royal Albatross,Weka
Saddleback,Mōhua,Salvin's Mollymawk,Kea,Kākā
Kingfisher,Kea,North Island Brown Kiwi,Tūī,Bittern
Kākāpō,Kākā,Little Spotted Kiwi,Rockhopper Penguin,Barn Owl
Stitchbird,NA,NA,NA,NA
Yellow-eyed penguin,Little Penguin,Rockhopper Penguin,Buller's Mollymawk,Southern Royal Albatross
Yellow-eyed penguin,Kākāpō,Rockhopper Penguin,Southern Brown Kiwi,Takahē
Black Petrel,Royal Spoonbill,Campbell Black-Browed Albatross,Southern Royal Albatross,Kererū
Yellow-eyed penguin,NA,NA,NA,NA
Antipodean Albatross,Banded Dotterel,Kākāpō,Morepork,Black Robin
Blue Duck,Brown Teal,Fairy Tern,Fiordland Crested Penguin,Grey Duck
Blue Duck,New Zealand Falcon,Gibson's Albatross,Great Spotted Kiwi,Black Robin
Wrybill,NA,NA,NA,NA
Tūī,White-faced Heron,Kākā,Kererū,Fantail
Fantail,Bellbird,Blue Duck,Chatham Island Oystercatcher,Kea
Morepork,White-faced Heron,Little Penguin,Whenua Hou Diving Petrel,Grey Warbler
Fantail,Rifleman,Harrier,Kea,Shining Cuckoo
Takahē,Black Robin,Kākā,Bittern,Kererū
Banded Dotterel,Antipodean Albatross,Mōhua,New Zealand Dotterel,Southern Brown Kiwi
Fantail,Gibson's Albatross,Kingfisher,Little Penguin,Bellbird
Yellow-eyed penguin,Little Spotted Kiwi,New Zealand Dotterel,Rockhopper Penguin,Morepork
Wrybill,NA,NA,NA,NA
Yellow-eyed penguin,Banded Dotterel,NA,NA,NA
Blue Duck,Fairy Tern,Kākā,Mōhua,Hutton's Shearwater
Banded Dotterel,Southern Royal Albatross,Fantail,White Heron,Morepork
Rifleman,Stitchbird,Fantail,Fiordland Crested Penguin,New Zealand Falcon
