points_5,points_4,points_3,points_2,points_1
Fantail,Kākāpō,Little Penguin,Silvereye,Tomtit
Fairy Tern,Kākāpō,Tūī,Yellow-eyed penguin,Gibson's Albatross
Little Penguin,Yellow-eyed penguin,Rockhopper Penguin,NA,NA
Kingfisher,Bittern,Rock Wren,Blue Duck,Saddleback
Southern Royal Albatross,Orange-fronted Parakeet,Kererū,Kākā,Stitchbird
Tūī,Buller's Mollymawk,Kingfisher,New Zealand King Shag,The Otago Shag
Kererū,Bellbird,Black-billed Gull,Mōhua,Pūkeko
Great Spotted Kiwi,Kererū,Kākāpō,Kākā,Tūī
Little Spotted Kiwi,Yellow-eyed penguin,Antipodean Albatross,Black Stilt,Campbell Black-Browed Albatross
Kākā,Kea,Stitchbird,Fantail,Little Penguin
Kākā,Yellow-eyed penguin,Saddleback,Whitehead,Stitchbird
Yellow-eyed penguin,Gibson's Albatross,Banded Dotterel,Blue Duck,Fairy Tern
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,Rock Wren,Banded Dotterel,Australasian Crested Grebe,Black Stilt
Antipodean Albatross,Hutton's Shearwater,Banded Dotterel,Kākā,Bittern
Yellow-eyed penguin,White Heron,Stitchbird,South Island Pied Oystercatcher,Rock Wren
Mōhua,Royal Spoonbill,Silvereye,Kākāpō,Black-fronted Tern
Banded Dotterel,Fantail,Fiordland Crested Penguin,Kingfisher,Kākāpō
Black Robin,Banded Dotterel,Little Spotted Kiwi,Blue Duck,Chatham Island Oystercatcher
Kākā,Orange-fronted Parakeet,Buller's Mollymawk,Chatham Island Mollymawk,Stitchbird
Yellow-eyed penguin,Banded Dotterel,Black Robin,Antipodean Albatross,Whenua Hou Diving Petrel
Rock Wren,Kōkako,Kākā,Bellbird,Blue Duck
Fairy Tern,Yellow-eyed penguin,Black Robin,Morepork,Fantail
Yellow-eyed penguin,Great Spotted Kiwi,Little Spotted Kiwi,North Island Brown Kiwi,Southern Brown Kiwi
Kākāpō,Fantail,Little Penguin,Morepork,Kingfisher
Blue Duck,NA,NA,NA,NA
Kākā,Morepork,Fantail,Silvereye,New Zealand Falcon
Yellow-eyed penguin,Orange-fronted Parakeet,Mōhua,Kākāpō,Kea
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,Rock Wren,New Zealand Dotterel,NA,NA
Takahē,Rifleman,Kākāpō,New Zealand Robin,Little Spotted Kiwi
Yellow-eyed penguin,NA,NA,NA,NA
Fantail,New Zealand Falcon,Blue Duck,Kākā,Yellow-eyed penguin
New Zealand Falcon,Kea,NA,NA,NA
Takahē,Kererū,Kākā,Yellow-eyed penguin,Kākāpō
Bar-tailed Godwit,New Zealand Falcon,Orange-fronted Parakeet,Kea,Buller's Mollymawk
Kererū,Kingfisher,Rockhopper Penguin,Tūī,Black Robin
Yellow-eyed penguin,NA,NA,NA,NA
Kākāpō,NA,NA,NA,NA
Yellow-eyed penguin,Black Robin,Fiordland Crested Penguin,NA,NA
Kea,Tūī,Yellow-eyed penguin,Kākāpō,Fantail
Banded Dotterel,Takahē,Hutton's Shearwater,Kingfisher,NA
Kākāpō,Kōkako,Morepork,Stitchbird,Yellow-eyed penguin
Black Robin,Little Penguin,Gibson's Albatross,Chatham Island Oystercatcher,Blue Duck
Yellow-eyed penguin,Banded Dotterel,Black Stilt,Fairy Tern,Kākāpō
Welcome Swallow,Black Stilt,Harrier,New Zealand Falcon,Kōkako
Antipodean Albatross,Hutton's Shearwater,New Zealand Dotterel,Gibson's Albatross,The Otago Shag
Yellow-eyed penguin,Kākāpō,Mōhua,Banded Dotterel,Southern Brown Kiwi
Variable Oystercatcher,Rock Wren,Kingfisher,Royal Spoonbill,Scaup
Tūī,Yellow-eyed penguin,Fantail,Kea,Southern Brown Kiwi
Silvereye,Morepork,Kākā,New Zealand Falcon,Barn Owl
Bittern,Kōkako,Tomtit,New Zealand Falcon,Yellow-eyed penguin
Banded Dotterel,Kea,Morepork,Kererū,South Polar Skua
Kererū,NA,NA,NA,NA
Takahē,Kākāpō,Little Spotted Kiwi,Morepork,New Zealand Falcon
Chatham Island Oystercatcher,Kea,Kererū,New Zealand Falcon,Rifleman
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,Tūī,Kererū,Antipodean Albatross,Kākā
New Zealand Falcon,Black Robin,Yellow-eyed penguin,Southern Brown Kiwi,South Island Kōkako
Kākāpō,Bittern,Banded Dotterel,South Island Kōkako,Southern Brown Kiwi
Barn Owl,North Island Brown Kiwi,Tūī,Great Spotted Kiwi,Southern Brown Kiwi
Black Stilt,Black Robin,Stitchbird,Welcome Swallow,Fantail
Yellow-eyed penguin,NA,NA,NA,NA
Kōkako,Saddleback,Banded Dotterel,Black Robin,New Zealand Dotterel
Little Penguin,Black Robin,Banded Dotterel,Rifleman,Morepork
Yellow-eyed penguin,Black Robin,Antipodean Albatross,The Otago Shag,Southern Brown Kiwi
Fairy Tern,Chatham Island Oystercatcher,Mōhua,Blue Duck,Black Stilt
Banded Dotterel,Kākā,South Island Kōkako,South Island Pied Oystercatcher,Black Robin
Little Penguin,Little Spotted Kiwi,Fiordland Crested Penguin,Mōhua,Orange-fronted Parakeet
Kōkako,Fernbird,Royal Spoonbill,Kingfisher,Barn Owl
Bellbird,Kererū,Kākāpō,Morepork,Kōkako
Antipodean Albatross,Yellow-eyed penguin,Kākāpō,Fiordland Crested Penguin,Southern Brown Kiwi
Antipodean Albatross,Mōhua,Fiordland Crested Penguin,Banded Dotterel,Kea
Yellow-eyed penguin,Wrybill,Gibson's Albatross,Black-billed Gull,Shore Plover
Tūī,Yellow-eyed penguin,Bellbird,Little Penguin,Southern Brown Kiwi
Black Stilt,Black Robin,New Zealand Dabchick,Fernbird,Weka
Bellbird,Bittern,Yellow-eyed penguin,Rockhopper Penguin,Kōkako
Fernbird,New Zealand Dotterel,Bittern,Blue Duck,Silvereye
Black Robin,Kererū,Kākā,Rifleman,Black shag
Antipodean Albatross,Fiordland Crested Penguin,Gibson's Albatross,North Island Brown Kiwi,Little Spotted Kiwi
Rifleman,Kākā,Tūī,Tomtit,Stitchbird
New Zealand Dotterel,North Island Brown Kiwi,Orange-fronted Parakeet,Tūī,Black-billed Gull
Welcome Swallow,Fantail,Tomtit,Black Robin,Silvereye
Fiordland Crested Penguin,Saddleback,Blue Duck,Antipodean Albatross,New Zealand Dotterel
Kākāpō,Blue Duck,Little Spotted Kiwi,Chatham Island Oystercatcher,Chatham Island Mollymawk
North Island Brown Kiwi,Bellbird,Fantail,Little Penguin,Rifleman
Kea,Kākā,Kākāpō,Southern Royal Albatross,Gibson's Albatross
Blue Duck,Kākā,Kākāpō,Mōhua,Antipodean Albatross
Yellow-eyed penguin,Orange-fronted Parakeet,Morepork,Kākāpō,Kingfisher
Tūī,Kingfisher,Kererū,Black-billed Gull,Black Stilt
Banded Dotterel,Yellow-eyed penguin,Black-billed Gull,Kākāpō,Blue Duck
Black Robin,Kākā,Takahē,Blue Duck,New Zealand Dotterel
Kea,Kākāpō,Barn Owl,Black Robin,Bittern
New Zealand Dotterel,Kingfisher,New Zealand Robin,Kākāpō,Grey Warbler
Kākā,South Island Kōkako,Kākāpō,Kōkako,Little Spotted Kiwi
New Zealand Falcon,Northern Royal Albatross,Kākā,Stitchbird,Black Robin
Antipodean Albatross,Black Robin,Chatham Island Mollymawk,New Zealand Dotterel,Blue Duck
Banded Dotterel,Bar-tailed Godwit,Black Robin,Fairy Tern,Grey Warbler
Fantail,New Zealand Falcon,Silvereye,Bar-tailed Godwit,Grey Warbler
Banded Dotterel,New Zealand Dotterel,Black Stilt,Black-billed Gull,Yellow-eyed penguin
Yellow-eyed penguin,Southern Brown Kiwi,Mōhua,Little Spotted Kiwi,Black Robin
Yellow-eyed penguin,Banded Dotterel,Black Robin,Stitchbird,Chatham Island Oystercatcher
Kererū,NA,NA,NA,NA
Yellow-eyed penguin,Banded Dotterel,Bellbird,Black-fronted Tern,Gibson's Albatross
Black Robin,Blue Duck,Kākā,Kākāpō,Little Spotted Kiwi
North Island Brown Kiwi,Fantail,Rifleman,Kererū,Weka
Yellow-eyed penguin,Weka,Takahē,Southern Royal Albatross,Orange-fronted Parakeet
Yellow-eyed penguin,Black Robin,Mōhua,New Zealand Robin,Rifleman
Saddleback,Hutton's Shearwater,Banded Dotterel,Kākā,South Island Kōkako
Kingfisher,Kākā,Kākāpō,Little Penguin,Blue Duck
Southern Royal Albatross,Yellow-eyed penguin,Light-mantled Sooty Albatross,Fiordland Crested Penguin,Chatham Island Mollymawk
Yellow-eyed penguin,Gibson's Albatross,Orange-fronted Parakeet,Fairy Tern,New Zealand Dotterel
Shore Plover,Kākā,Kākāpō,Gibson's Albatross,Black Robin
South Polar Skua,Antipodean Albatross,Bittern,Chatham Island Mollymawk,South Island Kōkako
Blue Duck,Little Penguin,New Zealand Dotterel,Pied Shag,Kingfisher
Kākāpō,Banded Dotterel,Antipodean Albatross,Blue Duck,Chatham Island Mollymawk
Kea,Yellow-eyed penguin,Black Stilt,New Zealand Falcon,South Island Kōkako
Yellow-eyed penguin,The Otago Shag,Buller's Mollymawk,Fiordland Crested Penguin,Great Spotted Kiwi
Morepork,Harrier,Blue Duck,Fantail,Kingfisher
Australasian Gannet,Bellbird,Fairy Tern,Fantail,Harrier
Fantail,South Island Pied Oystercatcher,Takahē,Royal Spoonbill,Tūī
Rifleman,New Zealand Falcon,Kākā,Kea,Yellow-eyed penguin
New Zealand King Shag,Black-billed Gull,Brown Teal,Orange-fronted Parakeet,North Island Brown Kiwi
Mōhua,Barn Owl,Kingfisher,Welcome Swallow,Kōkako
Yellow-eyed penguin,NA,NA,NA,NA
Harrier,Kākā,Kākāpō,Takahē,New Zealand Falcon
Bellbird,Banded Dotterel,Kōkako,Black Robin,Blue Duck
New Zealand Falcon,Bar-tailed Godwit,Fairy Tern,Rifleman,Fernbird
Yellow-eyed penguin,Little Spotted Kiwi,Kererū,Kea,Tūī
Black Robin,Kōkako,Rockhopper Penguin,Little Spotted Kiwi,Banded Dotterel
Yellow-eyed penguin,Black Petrel,Kākā,Bar-tailed Godwit,New Zealand Robin
Pūkeko,Harrier,Fantail,Welcome Swallow,Rifleman
Fantail,Harrier,Kererū,Takahē,Tūī
Banded Dotterel,Shining Cuckoo,Bellbird,Black Robin,Stitchbird
Rock Wren,New Zealand Falcon,New Zealand Dotterel,Mōhua,Fernbird
Banded Dotterel,Yellow-eyed penguin,Fairy Tern,Little Spotted Kiwi,South Island Kōkako
Banded Dotterel,Little Spotted Kiwi,Kākāpō,Tūī,Takahē
Great Spotted Kiwi,Takahē,Kea,Kākā,Kōkako
Yellow-eyed penguin,Orange-fronted Parakeet,Fairy Tern,Black Robin,Kākāpō
South Island Kōkako,Kōkako,Spotted Shag,Brown Teal,Rockhopper Penguin
Banded Dotterel,Yellow-eyed penguin,Tūī,Kākāpō,South Island Kōkako
Blue Duck,Black Robin,Black Stilt,Banded Dotterel,Mōhua
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,NA,NA,NA,NA
Banded Dotterel,Blue Duck,Black Robin,Chatham Island Mollymawk,Kākāpō
Yellow-eyed penguin,Antipodean Albatross,Banded Dotterel,Chatham Island Mollymawk,Little Spotted Kiwi
Antipodean Albatross,Banded Dotterel,Bittern,Black Robin,Blue Duck
Little Spotted Kiwi,Black-fronted Tern,Blue Duck,Fiordland Crested Penguin,Rockhopper Penguin
Bar-tailed Godwit,Blue Duck,Stitchbird,Shining Cuckoo,Takahē
Mōhua,Yellow-eyed penguin,Orange-fronted Parakeet,Antipodean Albatross,Blue Duck
Stitchbird,Fiordland Crested Penguin,Australasian Crested Grebe,Kākā,Kōkako
Fantail,Little Penguin,Kākā,Morepork,Yellow-eyed penguin
Little Spotted Kiwi,Black Robin,Kākā,Fantail,Banded Dotterel
Bellbird,Black Petrel,Black-billed Gull,Fantail,Tūī
Pūkeko,Harrier,Fantail,Barn Owl,Kākāpō
Bittern,Black Robin,Kākāpō,Mōhua,Orange-fronted Parakeet
Bellbird,Morepork,Kererū,Kingfisher,Silvereye
Wrybill,Kingfisher,Banded Dotterel,New Zealand Dotterel,Barn Owl
Black Robin,Fiordland Crested Penguin,Little Spotted Kiwi,Orange-fronted Parakeet,Shore Plover
Banded Dotterel,Black Robin,Mōhua,New Zealand Dotterel,Orange-fronted Parakeet
Rock Wren,Royal Spoonbill,South Island Kōkako,Kākā,Hutton's Shearwater
Kea,Kākā,Tūī,Kererū,Kingfisher
South Polar Skua,Arctic Skua,Antipodean Albatross,Chatham Island Mollymawk,Chatham Island Oystercatcher
Banded Dotterel,Kōkako,Rifleman,Fiordland Crested Penguin,Morepork
Blue Duck,Yellow-eyed penguin,Black Robin,NA,NA
Kea,Kākāpō,Weka,Fernbird,White Heron
Yellow-eyed penguin,Blue Duck,Kākāpō,Kākā,Southern Brown Kiwi
Fairy Tern,Banded Dotterel,Takahē,Black Robin,Chatham Island Oystercatcher
Yellow-eyed penguin,Kingfisher,Saddleback,Rifleman,Little Spotted Kiwi
Kākā,Black Robin,Fernbird,Blue Duck,Kea
Grey Duck,Black-billed Gull,Fantail,Saddleback,Tūī
Banded Dotterel,Black Robin,Black-billed Gull,Blue Duck,Little Penguin
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,NA,NA,NA,NA
Fantail,Kererū,Kea,Kingfisher,Kākā
Saddleback,Banded Dotterel,Kākā,Blue Duck,Fairy Tern
Yellow-eyed penguin,Wrybill,White Heron,Whenua Hou Diving Petrel,Stitchbird
Black Robin,Blue Duck,Kea,Weka,Fantail
Yellow-eyed penguin,NA,NA,NA,NA
Bittern,Fernbird,Wrybill,Fairy Tern,Variable Oystercatcher
Blue Duck,Kākāpō,Morepork,North Island Brown Kiwi,Yellow-eyed penguin
Yellow-eyed penguin,Mōhua,Tūī,Takahē,Fiordland Crested Penguin
South Island Kōkako,Southern Brown Kiwi,Morepork,New Zealand Falcon,North Island Brown Kiwi
South Island Kōkako,Antipodean Albatross,Banded Dotterel,Yellow-eyed penguin,Fairy Tern
Yellow-eyed penguin,Little Spotted Kiwi,Orange-fronted Parakeet,Saddleback,NA
Antipodean Albatross,Banded Dotterel,Bittern,Black Robin,Black Stilt
Tūī,Black Robin,Blue Duck,Kea,Orange-fronted Parakeet
Black Robin,Orange-fronted Parakeet,Banded Dotterel,Kōkako,Tūī
Kākāpō,Banded Dotterel,Little Penguin,North Island Brown Kiwi,Kōkako
Wrybill,Tomtit,Banded Dotterel,Mōhua,Bittern
Fantail,South Island Pied Oystercatcher,New Zealand Dotterel,Banded Dotterel,New Zealand Robin
Yellow-eyed penguin,The Otago Shag,Antipodean Albatross,Kākāpō,Black Stilt
Kākā,Yellow-eyed penguin,Gibson's Albatross,Orange-fronted Parakeet,New Zealand Dotterel
South Polar Skua,Antipodean Albatross,Bittern,Fernbird,Buller's Mollymawk
Yellow-eyed penguin,Tūī,South Island Kōkako,New Zealand Falcon,Kākāpō
Kea,Little Spotted Kiwi,Chatham Island Mollymawk,Kākāpō,Tūī
Orange-fronted Parakeet,Kea,New Zealand Dotterel,Blue Duck,South Polar Skua
New Zealand Falcon,Yellow-eyed penguin,Kingfisher,Kererū,Morepork
Yellow-eyed penguin,NA,NA,NA,NA
New Zealand Falcon,New Zealand Robin,Black Robin,Morepork,Kākā
Shore Plover,Yellow-eyed penguin,Kākāpō,Blue Duck,Kākā
Kākā,Kākāpō,Yellow-eyed penguin,Kōkako,Stitchbird
Banded Dotterel,Hutton's Shearwater,NA,NA,NA
Whenua Hou Diving Petrel,Rockhopper Penguin,Yellow-eyed penguin,Kākāpō,Kākā
Tūī,New Zealand Dabchick,Kea,Kākāpō,Fantail
Fantail,Kea,Kākāpō,New Zealand Falcon,Little Spotted Kiwi
Tūī,Australasian Crested Grebe,Fantail,Fiordland Crested Penguin,White Heron
Yellow-eyed penguin,Westland Petrel,Black Petrel,South Island Kōkako,Bittern
Antipodean Albatross,Kea,New Zealand Falcon,Morepork,South Polar Skua
Kākāpō,Kōkako,Kākā,Kererū,Kea
Gibson's Albatross,Kākā,Morepork,Fiordland Crested Penguin,Grey Warbler
Takahē,Kākā,Kingfisher,Antipodean Albatross,Black Robin
Yellow-eyed penguin,Takahē,Fantail,Australasian Gannet,Black Robin
Kākāpō,Orange-fronted Parakeet,Kākā,Yellow-eyed penguin,Saddleback
Fairy Tern,Kingfisher,Rockhopper Penguin,Takahē,Banded Dotterel
Yellow-eyed penguin,Kea,Rock Wren,Little Penguin,New Zealand Robin
Yellow-eyed penguin,Stitchbird,Kākā,Whitehead,Morepork
Kingfisher,Black Robin,Orange-fronted Parakeet,Shining Cuckoo,Kākā
Takahē,Yellow-eyed penguin,Little Spotted Kiwi,Banded Dotterel,Southern Brown Kiwi
Black Robin,Black Stilt,Blue Duck,Mōhua,Chatham Island Oystercatcher
Silvereye,Yellow-eyed penguin,Chatham Island Oystercatcher,Kākāpō,Morepork
Yellow-eyed penguin,Bittern,Black Petrel,Westland Petrel,Mōhua
Kākāpō,NA,NA,NA,NA
Stitchbird,North Island Brown Kiwi,Takahē,Kākāpō,Campbell Black-Browed Albatross
Bellbird,Blue Duck,Chatham Island Mollymawk,Fantail,Grey Warbler
New Zealand Falcon,Kererū,Tūī,Fantail,Grey Warbler
Mōhua,Australasian Crested Grebe,Banded Dotterel,Black Stilt,Fernbird
White Heron,Morepork,New Zealand Falcon,Australasian Crested Grebe,Fantail
Black Robin,Tūī,New Zealand King Shag,New Zealand Falcon,Kākāpō
Kea,Banded Dotterel,Barn Owl,Tūī,Wrybill
New Zealand Falcon,Black Stilt,Yellow-eyed penguin,Kākā,Little Penguin
Fantail,Kererū,Tūī,Kea,Kākā
Yellow-eyed penguin,Rockhopper Penguin,Black Stilt,Kea,New Zealand Falcon
Stitchbird,Fantail,Fiordland Crested Penguin,Rockhopper Penguin,Whitehead
Banded Dotterel,New Zealand Dotterel,Saddleback,Orange-fronted Parakeet,New Zealand Falcon
Yellow-eyed penguin,Black-billed Gull,Spotted Shag,Blue Duck,Tūī
Kākā,South Island Kōkako,Black Petrel,Southern Brown Kiwi,Black Robin
Bellbird,Brown Teal,Kingfisher,New Zealand Falcon,Kākāpō
New Zealand Dotterel,Banded Dotterel,Hutton's Shearwater,Fantail,Tomtit
Little Penguin,Rockhopper Penguin,Antipodean Albatross,Blue Duck,Great Spotted Kiwi
Australasian Crested Grebe,Bittern,Harrier,New Zealand Falcon,Weka
Black Robin,Rifleman,Tūī,Kākāpō,Fantail
Black shag,Blue Duck,Fantail,Harrier,Kākā
Bittern,NA,NA,NA,NA
Yellow-eyed penguin,Saddleback,Fairy Tern,Banded Dotterel,South Polar Skua
Saddleback,Blue Duck,Weka,Takahē,Fiordland Crested Penguin
Morepork,NA,NA,NA,NA
Southern Brown Kiwi,Kererū,Rockhopper Penguin,Little Spotted Kiwi,Yellow-eyed penguin
Yellow-eyed penguin,Fantail,Tūī,Kākāpō,Kea
White Heron,Fiordland Crested Penguin,South Island Kōkako,New Zealand Falcon,Morepork
Black Robin,Blue Duck,Chatham Island Oystercatcher,Kākāpō,Little Spotted Kiwi
Mōhua,Fiordland Crested Penguin,Kererū,Whitehead,Banded Dotterel
Kea,Antipodean Albatross,Black Stilt,Little Penguin,Yellow-eyed penguin
Yellow-eyed penguin,Little Penguin,Rockhopper Penguin,North Island Brown Kiwi,Tūī
Kea,Black Robin,South Island Kōkako,New Zealand Dotterel,Saddleback
Kākāpō,Morepork,Orange-fronted Parakeet,South Island Kōkako,Tūī
Kākāpō,Kōkako,Kererū,Kea,Fiordland Crested Penguin
Yellow-eyed penguin,Kea,Blue Duck,Orange-fronted Parakeet,Saddleback
Shore Plover,Little Spotted Kiwi,New Zealand Falcon,The Otago Shag,Kākāpō
Kākāpō,Morepork,Tūī,NA,NA
Mōhua,Black Robin,Orange-fronted Parakeet,Southern Brown Kiwi,Banded Dotterel
Yellow-eyed penguin,Northern Royal Albatross,Southern Royal Albatross,Gibson's Albatross,Antipodean Albatross
Black shag,Takahē,Little Penguin,Kingfisher,Pūkeko
Blue Duck,Orange-fronted Parakeet,Mōhua,Kākāpō,Kea
Bellbird,Tūī,Tomtit,Australasian Crested Grebe,New Zealand Falcon
Tūī,Fantail,Kākāpō,Blue Duck,Morepork
Yellow-eyed penguin,Black Robin,Takahē,Great Spotted Kiwi,South Island Kōkako
Yellow-eyed penguin,Kākā,Little Spotted Kiwi,Antipodean Albatross,New Zealand Falcon
Morepork,Yellow-eyed penguin,Saddleback,Royal Spoonbill,Rockhopper Penguin
Saddleback,Royal Spoonbill,Kea,Banded Dotterel,Shore Plover
Saddleback,Rock Wren,Stitchbird,Black Robin,Kākāpō
The Otago Shag,Orange-fronted Parakeet,Black Robin,South Island Kōkako,Black Stilt
Barn Owl,Fiordland Crested Penguin,Great Spotted Kiwi,Harrier,New Zealand Falcon
Fantail,Morepork,New Zealand Falcon,Little Penguin,Kea
Fantail,Kererū,Great Spotted Kiwi,Banded Dotterel,Fairy Tern
Yellow-eyed penguin,Fantail,Rockhopper Penguin,Banded Dotterel,New Zealand Dabchick
Rock Wren,Blue Duck,Fiordland Crested Penguin,Kākā,Kākāpō
Kākāpō,Kea,Black Robin,Hutton's Shearwater,Bellbird
Kea,Kākā,New Zealand Falcon,Orange-fronted Parakeet,Tūī
Pūkeko,Fiordland Crested Penguin,Banded Dotterel,Great Spotted Kiwi,Little Penguin
Kingfisher,Grey Warbler,Morepork,Fantail,Australasian Gannet
Yellow-eyed penguin,The Otago Shag,Southern Royal Albatross,Black Robin,South Island Kōkako
Yellow-eyed penguin,Southern Brown Kiwi,Hutton's Shearwater,Great Spotted Kiwi,Gibson's Albatross
Tūī,Banded Dotterel,Barn Owl,Black Robin,South Island Kōkako
New Zealand Falcon,Black Robin,Black Petrel,Bittern,South Island Kōkako
New Zealand Falcon,Black Robin,New Zealand Dotterel,New Zealand Robin,Rockhopper Penguin
Yellow-eyed penguin,Takahē,Fantail,Bellbird,NA
Yellow-eyed penguin,Fiordland Crested Penguin,Rockhopper Penguin,Little Penguin,Southern Royal Albatross
Antipodean Albatross,Australasian Crested Grebe,Banded Dotterel,Blue Duck,Fiordland Crested Penguin
Yellow-eyed penguin,NA,NA,NA,NA
Antipodean Albatross,Australasian Crested Grebe,Banded Dotterel,Bittern,Kākā
Kea,Black Robin,Kingfisher,Kākā,Blue Duck
Blue Duck,Little Spotted Kiwi,Banded Dotterel,Yellow-eyed penguin,Shore Plover
Bittern,Banded Dotterel,Black-fronted Tern,Fairy Tern,Orange-fronted Parakeet
Kākāpō,Kākā,Fairy Tern,Black Robin,North Island Brown Kiwi
Banded Dotterel,Kākā,Yellow-eyed penguin,Royal Spoonbill,White Heron
Banded Dotterel,Bittern,Chatham Island Mollymawk,Pūkeko,Stitchbird
Kākāpō,Little Spotted Kiwi,Black Robin,Banded Dotterel,Yellow-eyed penguin
Yellow-eyed penguin,Mōhua,Kererū,Tūī,Kākā
Black Robin,Chatham Island Mollymawk,Grey Warbler,Kākāpō,Stitchbird
Tūī,Orange-fronted Parakeet,Yellow-eyed penguin,Morepork,New Zealand Falcon
Takahē,Black Robin,Black Stilt,Blue Duck,Morepork
Kākāpō,Barn Owl,Black Robin,Banded Dotterel,Bittern
Kākā,Banded Dotterel,Blue Duck,Kōkako,Fantail
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,Little Spotted Kiwi,Kākāpō,Black Robin,NA
Tūī,Takahē,Kererū,Kākāpō,Black Robin
Little Penguin,Tomtit,New Zealand Robin,New Zealand Dotterel,Black-billed Gull
New Zealand Dotterel,Banded Dotterel,Yellow-eyed penguin,Blue Duck,Stitchbird
Banded Dotterel,Kākā,Kākāpō,New Zealand Dotterel,Fiordland Crested Penguin
Banded Dotterel,Shining Cuckoo,Fernbird,Mōhua,Grey Warbler
Mōhua,Orange-fronted Parakeet,The Otago Shag,Hutton's Shearwater,Kākā
Rockhopper Penguin,Scaup,Shining Cuckoo,Welcome Swallow,Kingfisher
Antipodean Albatross,Kākāpō,Takahē,Yellow-eyed penguin,Tūī
Banded Dotterel,Orange-fronted Parakeet,Black Robin,Black Stilt,Yellow-eyed penguin
Mōhua,Kākā,Fernbird,New Zealand Dotterel,Southern Brown Kiwi
New Zealand Dotterel,Little Penguin,Banded Dotterel,Saddleback,Stitchbird
Banded Dotterel,Stitchbird,Tomtit,Welcome Swallow,Fernbird
Kererū,Yellow-eyed penguin,Kākā,Tūī,Kea
Fantail,Little Penguin,Pūkeko,Kākāpō,Gibson's Albatross
Takahē,Little Spotted Kiwi,Kākāpō,Kākā,Kea
Yellow-eyed penguin,Black Robin,Banded Dotterel,Stitchbird,Bittern
Yellow-eyed penguin,Orange-fronted Parakeet,New Zealand Dotterel,Little Spotted Kiwi,Kākā
Tūī,Black Robin,Australasian Crested Grebe,Kākāpō,Pūkeko
Black Robin,Kākā,Kākāpō,Blue Duck,Bittern
New Zealand Dotterel,Kererū,Pūkeko,Kingfisher,Rifleman
Black Robin,Banded Dotterel,Antipodean Albatross,Tūī,Fantail
Blue Duck,Kākā,Kākāpō,New Zealand Falcon,Little Penguin
Yellow-eyed penguin,Chatham Island Mollymawk,Chatham Island Oystercatcher,Gibson's Albatross,Little Spotted Kiwi
Yellow-eyed penguin,Southern Brown Kiwi,The Otago Shag,South Island Kōkako,Shore Plover
Banded Dotterel,Rifleman,Mōhua,Rock Wren,Tomtit
Banded Dotterel,Fantail,Black Robin,Blue Duck,Chatham Island Oystercatcher
Black Stilt,Kākāpō,New Zealand Dotterel,Tūī,Banded Dotterel
Yellow-eyed penguin,Blue Duck,Rifleman,Kākā,New Zealand Falcon
Takahē,Kākāpō,New Zealand Falcon,Orange-fronted Parakeet,Kākā
Kākā,Kingfisher,Tomtit,New Zealand Falcon,Blue Duck
Tūī,Kererū,Fantail,New Zealand Falcon,Pūkeko
Yellow-eyed penguin,Black Robin,Rock Wren,Black Stilt,Kākāpō
Rifleman,Morepork,Blue Duck,Brown Teal,Bittern
Little Penguin,Little Spotted Kiwi,Tūī,Kākāpō,Bittern
Kererū,New Zealand Falcon,Harrier,Morepork,Kākāpō
Australasian Crested Grebe,Bellbird,Fantail,Fernbird,Grey Warbler
Yellow-eyed penguin,Morepork,Bellbird,Saddleback,Kingfisher
Saddleback,New Zealand Falcon,Antipodean Albatross,Black Petrel,South Island Kōkako
Morepork,Rifleman,Black Robin,Tūī,Banded Dotterel
South Island Kōkako,Shore Plover,Kākā,Black Stilt,Black Robin
Yellow-eyed penguin,Shore Plover,Little Spotted Kiwi,Kākāpō,Chatham Island Oystercatcher
Orange-fronted Parakeet,Tūī,Kākā,Antipodean Albatross,Black Petrel
Banded Dotterel,Bar-tailed Godwit,Black Robin,New Zealand Dotterel,Saddleback
Mōhua,Stitchbird,Banded Dotterel,Australasian Crested Grebe,Black Robin
Yellow-eyed penguin,Orange-fronted Parakeet,Kākāpō,Little Spotted Kiwi,Mōhua
Little Spotted Kiwi,Takahē,Tūī,Fantail,Kākāpō
Banded Dotterel,Chatham Island Mollymawk,Black Robin,Bittern,Black Stilt
Morepork,New Zealand Dotterel,Hutton's Shearwater,Blue Duck,Black Robin
Kea,Fantail,New Zealand Falcon,Yellow-eyed penguin,South Island Kōkako
Kākāpō,Morepork,Kea,Tūī,Fantail
Orange-fronted Parakeet,Black Robin,Rock Wren,Blue Duck,Bittern
Kākāpō,Little Spotted Kiwi,Takahē,Great Spotted Kiwi,Southern Brown Kiwi
Kākāpō,Bittern,Barn Owl,Southern Brown Kiwi,Wrybill
Australasian Gannet,Rockhopper Penguin,New Zealand Robin,Black Stilt,Kākā
Saddleback,Fantail,Blue Duck,Takahē,Fernbird
Kōkako,Kākā,Saddleback,Morepork,Weka
